Seed file,LineId,Section/VO,Description,Old code,New code,New code name,Amount (net),Mapped by
seed-abbotroad-valuation.sql,ar-cw-001,01,Site manager,JBB-PRL,00016,Site manager,9000.0,keyword
seed-abbotroad-valuation.sql,ar-cw-002,01,Site manager,JBB-PRL,00016,Site manager,16500.0,keyword
seed-abbotroad-valuation.sql,ar-cw-003,01,Project manager,JBB-PRL,00017,Project manager,4200.0,keyword
seed-abbotroad-valuation.sql,ar-cw-004,01,Project manager,JBB-PRL,00017,Project manager,7700.0,keyword
seed-abbotroad-valuation.sql,ar-cw-005,01,Site labour,JBB-PRL,00015,Labour,3600.0,keyword
seed-abbotroad-valuation.sql,ar-cw-006,01,Site labour,JBB-PRL,00015,Labour,6600.0,keyword
seed-abbotroad-valuation.sql,ar-cw-007,01,Hoarding & protection,JBB-PRL,00001,Hoarding,125.0,keyword
seed-abbotroad-valuation.sql,ar-cw-008,01,Rubbish removal,JBB-PRL,00131,Rubbish clearance,2280.0,keyword
seed-abbotroad-valuation.sql,ar-cw-009,01,Rubbish removal,JBB-PRL,00131,Rubbish clearance,2280.0,keyword
seed-abbotroad-valuation.sql,ar-cw-010,01,Temporary toilet & welfare,JBB-PRL,00004,Welfare,1080.0,keyword
seed-abbotroad-valuation.sql,ar-cw-011,01,Temporary toilet & welfare,JBB-PRL,00004,Welfare,1980.0,keyword
seed-abbotroad-valuation.sql,ar-cw-012,01,"Plant, lighting & machinery",JBB-PRL,00072,Electrician,660.0,keyword
seed-abbotroad-valuation.sql,ar-cw-013,01,"Plant, lighting & machinery",JBB-PRL,00072,Electrician,1210.0,keyword
seed-abbotroad-valuation.sql,ar-cw-014,01,Temporary plumbing & electrics,JBB-PRL,00072,Electrician,800.0,keyword
seed-abbotroad-valuation.sql,ar-cw-015,01,CDM,JBB-PRL,00006,Health & Safety CDM,1200.0,keyword
seed-abbotroad-valuation.sql,ar-cw-016,01,"Health, safety & welfare",JBB-PRL,00004,Welfare,1500.0,keyword
seed-abbotroad-valuation.sql,ar-cw-017,01,"Health, safety & welfare",JBB-PRL,00004,Welfare,2750.0,keyword
seed-abbotroad-valuation.sql,ar-cw-018,01,Scaffolding,JBB-PRL,00020,Scaffolding,3500.0,keyword
seed-abbotroad-valuation.sql,ar-cw-019,01,Clean on completion,JBB-PRL,00130,Cleaning internal,800.0,keyword
seed-abbotroad-valuation.sql,ar-cw-020,01,Conveyor Belt System to remove hardcore from garden,JBB-PRL,00027,Concrete,2000.0,keyword
seed-abbotroad-valuation.sql,ar-cw-021,01,Asbestos Survey & Report,JBB-PRL,00114,Asbestos removal,315.0,keyword
