ValuationLineItemId,VariationRef,LineType,CostCode,LineAmount,DisplayOrder,CumulativeClaimed
-------------------,------------,--------,--------,----------,------------,-----------------
bf-vo-v01,V01,2,ENABLE-ASB,-5500.0000,1,-5500.0000
bf-vo-v03,V03,0,UTIL-STD,27797.0000,2,27797.0000
bf-vo-v04,V04,0,STR-STL,1135.0000,3,1135.0000
bf-vo-v05,V05,0,PRELIMS-SMG,2860.0000,4,2860.0000
bf-vo-v06a,V06,0,PRELIMS-SMG,750.0000,5,750.0000
bf-vo-v06b,V06,0,PRELIMS-PRO,860.0000,6,860.0000
bf-vo-v07,V07,0,PRELIMS-SMG,1360.0000,7,1360.0000
bf-vo-v08,V08,0,PRELIMS-SMG,1360.0000,8,1360.0000
bf-vo-v09,V09,0,PRELIMS-SMG,1360.0000,9,1360.0000
bf-vo-v10a,V10,0,SUB-GWK,10010.0000,10,10010.0000
bf-vo-v10b,V10,2,MEC-PLM,-4894.0000,11,-4894.0000
bf-vo-v11,V11,0,STR-STL,4125.0000,12,4125.0000
bf-vo-v12,V12,0,PRELIMS-PRO,2100.0000,13,2100.0000
bf-vo-v13,V13,0,SUB-GWK,6396.0000,14,6396.0000
bf-vo-v14,V14,0,SUB-GWK,42936.0000,15,42936.0000
bf-vo-v15,V15,0,PRELIMS-SMG,5860.0000,16,5860.0000
bf-vo-v16,V16,0,EXTW-LND,26351.0000,17,-7400.0000
bf-vo-v17,V17,0,EXTW-FEN,1720.0000,18,1720.0000
bf-vo-v18,V18,0,WDR-ALU,11474.1000,19,8807.1500
bf-vo-v19,V19,4,MEC-DRN,0.0000,20,NULL
bf-vo-v20,V20,2,HAND-MSC,-22200.0000,21,-22200.0000
bf-vo-v21,V21,0,MASON-BRK,400.0000,22,400.0000
bf-vo-v22,V22,0,EXTW-LND,7600.0000,23,7600.0000
bf-vo-v23,V23,0,ELE-STD,29533.0000,24,23573.0500
bf-vo-v24,V24,0,MEC-PLM,4093.0000,25,2293.0000
bf-vo-v25,V25,0,PRELIMS-SMG,3516.0000,26,3516.0000
bf-vo-v26,V26,0,MEC-AC,8925.0000,27,4586.2500
bf-vo-v27,V27,2,ELE-STD,-6640.0000,28,-7294.0000
bf-vo-v28,V28,2,ELE-STD,-1310.0000,29,-1526.0000
bf-vo-v29,V29,0,STR-STL,330.0000,30,330.0000
bf-vo-v30,V30,0,INT-RDR,29185.0000,31,22184.0000
bf-vo-v31,V31,2,SUP-SAN,-12240.0000,32,-12240.0000
bf-vo-v32,V32,2,STAIR-TIM,-1665.0000,33,-21582.5000
bf-vo-v33,V33,0,STR-STL,1870.0000,34,1870.0000
bf-vo-v34,V34,0,SUP-SAN,11965.0000,35,8973.7500
bf-vo-v35,V35,0,PRELIMS-SMG,8790.0000,36,8790.0000
bf-vo-v36,V36,0,SUP-KIT,17935.0000,37,16320.0000
bf-vo-v37,V37,0,SUP-SAN,4245.0000,38,4245.0000
bf-vo-v38,V38,0,EXTW-FEN,23650.0000,39,23650.0000
bf-vo-v39,V39,3,ENABLE-DEM,0.0000,40,NULL
bf-vo-v40,V40,0,ELE-STD,790.0000,41,711.0000
bf-vo-v41,V41,0,FLR-CPT,19067.0000,42,-40066.0000
bf-vo-v42a,V42,0,SUP-TIL,14435.0000,43,7217.5000
bf-vo-v42b,V42,2,TIL-STD,-29012.0000,44,-28580.0000
bf-vo-v43,V43,2,HAND-MSC,-19800.0000,45,-20900.0000
bf-vo-v44,V44,0,MEC-PLM,2435.0000,46,2435.0000
bf-vo-v45,V45,2,HAND-MSC,-50000.0000,47,-50000.0000
bf-vo-v46,V46,0,CARP-1FX,4950.0000,48,4950.0000
bf-vo-v47,V47,0,ELE-STD,575.0000,49,517.5000
bf-vo-v48a,V48,2,HAND-MSC,-9000.0000,50,-9000.0000
bf-vo-v48b,V48,2,DEC-STD,-1575.0000,51,-1575.0000
bf-vo-v48c,V48,2,DEC-STD,-7600.0000,52,-7600.0000
